City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,yellowknife,62.456,-114.3525,-18.58,78,20,4.63,CA,1667702178
1,luanda,-8.8368,13.2343,25.0,88,75,2.06,AO,1667702525
2,russkaya polyana,49.417,31.9201,2.91,83,89,3.37,UA,1667702526
3,putyatino,54.16,41.1169,0.58,78,100,1.8,RU,1667702527
4,kapaa,22.0752,-159.319,28.99,78,40,7.2,US,1667702425
5,ushuaia,-54.8,-68.3,7.81,93,0,5.14,AR,1667702439
6,amatitan,20.8333,-103.7167,16.64,51,0,1.31,MX,1667702528
7,dauphin,51.1494,-100.0502,3.08,81,100,8.23,CA,1667702528
8,cabo san lucas,22.8909,-109.9124,24.17,63,0,1.34,MX,1667702481
9,jinzhou,41.1078,121.1417,12.65,24,100,2.74,CN,1667702529
10,atuona,-9.8,-139.0333,25.05,73,13,6.91,PF,1667702529
11,rikitea,-23.1203,-134.9692,21.92,75,37,7.37,PF,1667702425
12,richards bay,-28.783,32.0377,19.82,86,57,3.48,ZA,1667702530
13,butaritari,3.0707,172.7902,26.6,74,55,3.73,KI,1667702449
14,faya,18.3851,42.4509,13.06,88,3,1.05,SA,1667702531
15,minbu,20.1833,94.8833,27.7,60,0,2.0,MM,1667702532
16,hermanus,-34.4187,19.2345,16.56,92,4,4.22,ZA,1667702426
17,salalah,17.0151,54.0924,25.05,78,0,1.03,OM,1667702532
18,leh,34.1667,77.5833,-0.5,62,52,2.03,IN,1667702533
19,busselton,-33.65,115.3333,21.83,42,6,2.48,AU,1667702420
20,bud,39.447,-86.1758,15.01,72,32,3.72,US,1667702534
21,upernavik,72.7868,-56.1549,-5.92,71,100,8.43,GL,1667702386
22,esperance,-33.8667,121.9,19.29,57,4,6.31,AU,1667702451
23,brandon,27.9378,-82.2859,26.04,87,0,1.54,US,1667702535
24,langsa,4.4683,97.9683,28.85,71,100,0.6,ID,1667702536
25,denpasar,-8.65,115.2167,30.81,70,40,3.09,ID,1667702326
26,mar del plata,-38.0023,-57.5575,16.08,88,0,5.81,AR,1667702442
27,georgetown,5.4112,100.3354,29.94,83,20,1.54,MY,1667702452
28,high prairie,55.4334,-116.4858,-11.37,74,100,4.07,CA,1667702538
29,hobart,-42.8794,147.3294,24.47,44,0,4.63,AU,1667702196
30,athmallik,20.7219,84.5348,24.14,65,2,0.63,IN,1667702538
31,thompson,55.7435,-97.8558,-1.91,93,100,3.09,CA,1667702424
32,zhaotong,27.3167,103.7167,14.09,69,1,2.76,CN,1667702540
33,champerico,14.3,-91.9167,26.82,79,68,2.51,GT,1667702541
34,albany,42.6001,-73.9662,20.23,75,96,2.24,US,1667702253
35,cape town,-33.9258,18.4232,16.73,85,0,5.36,ZA,1667702246
36,jamestown,42.097,-79.2353,22.77,69,20,8.75,US,1667702406
37,lagoa,39.05,-27.9833,17.63,77,38,5.09,PT,1667702543
38,kavieng,-2.5744,150.7967,29.41,70,75,3.58,PG,1667702543
39,saskylakh,71.9167,114.0833,-30.64,100,100,1.11,RU,1667702456
40,avarua,-21.2078,-159.775,25.03,69,20,4.63,CK,1667702544
41,alyangula,-13.8483,136.4192,30.55,60,12,2.0,AU,1667702545
42,ribeira grande,38.5167,-28.7,15.99,80,73,1.34,PT,1667702446
43,longyearbyen,78.2186,15.6401,0.91,69,75,6.69,SJ,1667702546
44,puerto ayora,-0.7393,-90.3518,18.79,78,15,4.54,EC,1667702345
45,fare,-16.7,-151.0167,25.98,86,100,13.16,PF,1667702547
46,gat,31.61,34.7642,19.67,100,0,1.25,IL,1667702491
47,verkhoyansk,67.5447,133.385,-21.66,95,100,1.23,RU,1667702548
48,siguiri,11.6667,-9.5,22.34,44,8,0.62,GN,1667702549
49,sakaiminato,35.55,133.2333,13.99,82,20,1.54,JP,1667702550
50,souillac,-20.5167,57.5167,21.21,88,40,1.54,MU,1667702551
51,faanui,-16.4833,-151.75,26.1,82,100,13.04,PF,1667702447
52,saint-philippe,-21.3585,55.7679,22.77,79,68,3.67,RE,1667702551
53,tiksi,71.6872,128.8694,-17.7,96,100,4.12,RU,1667702552
54,mataura,-46.1927,168.8643,16.14,43,18,2.96,NZ,1667702435
55,castro,-24.7911,-50.0119,8.3,98,14,2.57,BR,1667702553
56,victoria,22.2855,114.1577,22.36,84,94,3.58,HK,1667702390
57,narsaq,60.9167,-46.05,1.12,88,100,2.74,GL,1667702553
58,warren,39.4334,-84.1666,20.96,69,75,6.17,US,1667702308
59,nikolskoye,59.7035,30.7861,-0.05,72,100,4.82,RU,1667702441
60,wilmington,34.2257,-77.9447,22.95,82,0,2.57,US,1667702420
61,farafangana,-22.8167,47.8333,22.33,88,96,3.33,MG,1667702554
62,sawtell,-30.3833,153.1,22.88,68,100,4.12,AU,1667702476
63,east london,-33.0153,27.9116,18.0,80,28,1.92,ZA,1667702388
64,severo-kurilsk,50.6789,156.125,4.07,85,100,4.78,RU,1667702555
65,anzio,41.4853,12.6179,14.52,68,3,6.98,IT,1667702556
66,valparaiso,-33.0393,-71.6273,11.8,82,0,2.06,CL,1667702510
67,ratnagiri,16.9833,73.3,26.89,59,97,4.2,IN,1667702556
68,hilo,19.7297,-155.09,26.85,75,0,4.12,US,1667702333
69,barrow,71.2906,-156.7887,-15.99,85,0,5.14,US,1667702421
70,nanortalik,60.1432,-45.2371,1.61,86,100,5.13,GL,1667702558
71,klaksvik,62.2266,-6.589,5.51,84,100,7.48,FO,1667702558
72,vuktyl,63.8567,57.3094,-3.39,97,100,1.8,RU,1667702559
73,punta arenas,-53.15,-70.9167,12.06,62,0,4.63,CL,1667702420
74,putina,-15.4667,-69.4333,6.4,73,1,3.6,PE,1667702559
75,ostrovnoy,68.0531,39.5131,2.37,82,99,7.52,RU,1667702560
76,krasnoselkup,65.7,82.4667,-5.01,97,100,2.06,RU,1667702561
77,leningradskiy,69.3833,178.4167,-8.48,89,100,8.49,RU,1667702561
78,presidencia roque saenz pena,-26.7852,-60.4388,17.49,47,16,2.75,AR,1667702562
79,avila,40.5833,-5.0,4.25,34,6,2.1,ES,1667702562
80,rindal,63.0565,9.2124,5.14,88,75,0.93,NO,1667702563
81,port macquarie,-31.4333,152.9167,23.83,64,91,4.39,AU,1667702563
82,oistins,13.0667,-59.5333,25.05,88,75,9.77,BB,1667702564
83,tuatapere,-46.1333,167.6833,13.66,56,68,4.76,NZ,1667702565
84,chuy,-33.6971,-53.4616,14.36,90,0,3.91,UY,1667702566
85,san isidro,-12.1167,-77.05,16.77,77,0,5.66,PE,1667702567
86,ancud,-41.8697,-73.8203,10.25,88,62,2.85,CL,1667702568
87,atoka,34.4001,-96.0169,10.95,71,3,5.33,US,1667702568
88,toronto,43.7001,-79.4163,22.42,69,75,7.72,CA,1667702138
89,dalnerechensk,45.9339,133.7225,3.29,37,5,4.75,RU,1667702365
90,verkhnevilyuysk,63.4453,120.3167,-19.11,94,93,1.93,RU,1667702570
91,flinders,-34.5833,150.8552,24.54,65,43,2.68,AU,1667702571
92,antipovka,49.8299,45.3122,2.55,97,100,2.89,RU,1667702572
93,kodiak,57.79,-152.4072,-1.27,43,0,9.26,US,1667702573
94,bredasdorp,-34.5322,20.0403,14.84,96,2,2.07,ZA,1667702384
95,eldama ravine,0.0516,35.7308,12.69,93,57,0.24,KE,1667702574
96,lebu,-37.6167,-73.65,10.18,90,3,2.48,CL,1667702447
97,kutahya,39.4242,29.9833,8.76,49,0,1.54,TR,1667702575
98,provideniya,64.3833,-173.3,1.75,99,100,7.71,RU,1667702576
99,yar-sale,66.8333,70.8333,-8.68,89,100,1.06,RU,1667702576
100,hayden,47.766,-116.7866,3.6,68,0,2.06,US,1667702403
101,goure,13.9835,10.2704,20.49,20,75,3.45,NE,1667702577
102,ushtobe,45.2514,77.9838,9.28,83,100,2.16,KZ,1667702578
103,pochutla,15.7432,-96.4661,26.9,91,94,1.67,MX,1667702578
104,bambous virieux,-20.3428,57.7575,24.01,88,40,1.54,MU,1667702579
105,mitu,1.1983,-70.1733,22.17,82,83,0.44,CO,1667702580
106,kuklis,41.4053,22.6653,13.65,79,100,3.99,MK,1667702580
107,okha,53.5739,142.9478,-2.4,71,100,9.47,RU,1667702581
108,thinadhoo,0.5333,72.9333,27.45,75,63,4.55,MV,1667702582
109,pontianak,-0.0333,109.3333,26.99,83,40,2.57,ID,1667702433
110,wencheng,33.0559,113.7978,18.8,48,9,2.55,CN,1667702583
111,cairns,-16.9167,145.7667,29.97,58,17,7.2,AU,1667702453
112,tuktoyaktuk,69.4541,-133.0374,-14.0,78,75,9.26,CA,1667702431
113,ilo,-17.6394,-71.3375,16.73,81,71,3.19,PE,1667702583
114,port pirie,-33.1833,138.0167,27.26,26,99,2.0,AU,1667702584
115,broken hill,-31.95,141.4333,25.88,21,64,1.79,AU,1667702585
116,mandalgovi,45.7625,106.2708,0.19,40,93,5.35,MN,1667702585
117,hamilton,39.1834,-84.5333,21.08,73,75,6.69,US,1667702122
118,matamoros,25.5333,-103.25,19.5,29,0,1.39,MX,1667702587
119,solnechnyy,50.7214,136.6319,-2.18,31,2,1.02,RU,1667702588
120,wajima,37.4,136.9,11.38,87,75,2.57,JP,1667702589
121,healdsburg,38.6105,-122.8692,16.66,86,100,2.06,US,1667702473
122,makariv,50.4641,29.8113,5.1,84,100,5.66,UA,1667702590
123,lundazi,-12.2929,33.1782,19.17,62,4,2.47,ZM,1667702590
124,tadine,-21.55,167.8833,27.17,70,39,3.38,NC,1667702591
125,zaria,11.1113,7.7227,19.12,29,100,3.01,NG,1667702592
126,santa rosa,14.3122,121.1114,30.06,75,64,3.79,PH,1667702592
127,bethel,41.3712,-73.414,19.16,81,75,3.09,US,1667702427
128,port alfred,-33.5906,26.891,18.72,77,42,1.6,ZA,1667702428
129,port elizabeth,-33.918,25.5701,16.72,94,0,1.03,ZA,1667702078
130,asyut,27.181,31.1837,16.1,55,75,2.33,EG,1667702594
131,torbay,47.6666,-52.7314,12.64,88,75,7.72,CA,1667702137
132,natal,-5.795,-35.2094,26.36,78,40,3.09,BR,1667702361
133,empalme,27.9667,-110.8167,20.19,34,0,2.93,MX,1667702595
134,carnarvon,-24.8667,113.6333,21.76,61,24,8.03,AU,1667702429
135,sao filipe,14.8961,-24.4956,26.34,65,100,2.49,CV,1667702595
136,rawson,-43.3002,-65.1023,20.04,48,99,11.59,AR,1667702450
137,pisco,-13.7,-76.2167,16.12,82,0,6.69,PE,1667702596
138,vaini,-21.2,-175.2,26.09,73,40,5.14,TO,1667702423
139,hambantota,6.1241,81.1185,25.19,100,40,1.54,LK,1667702597
140,springfield,37.2153,-93.2982,9.99,68,0,5.66,US,1667702525
141,gornopravdinsk,60.05,69.9,-2.98,95,100,3.43,RU,1667702597
142,chichester,50.8367,-0.78,15.0,98,100,3.13,GB,1667702598
143,meulaboh,4.1363,96.1285,27.28,74,96,0.86,ID,1667702599
144,ust-nera,64.5667,143.2,-20.17,96,100,2.8,RU,1667702600
145,hobyo,5.3505,48.5268,26.33,72,19,3.25,SO,1667702600
146,mokhsogollokh,61.4681,128.9203,-12.14,83,81,3.2,RU,1667702601
147,tura,25.5198,90.2201,23.92,72,0,0.66,IN,1667702602
148,waipawa,-41.4122,175.5153,13.31,60,71,4.21,NZ,1667702602
149,cockburn town,21.4612,-71.1419,26.21,74,77,8.94,TC,1667702390
150,xichang,27.8964,102.2634,15.95,72,32,0.94,CN,1667702603
151,kargopol,61.5071,38.9456,-4.1,95,94,2.43,RU,1667702604
152,axim,4.8699,-2.2405,25.11,88,78,2.24,GH,1667702605
153,hithadhoo,-0.6,73.0833,27.38,74,100,3.82,MV,1667702475
154,mayo,38.8876,-76.5119,22.32,87,20,6.69,US,1667702605
155,bukama,-9.2,25.85,19.7,98,100,1.72,CD,1667702606
156,bushehr,28.9684,50.8385,19.05,55,0,0.0,IR,1667702606
157,geraldton,-28.7667,114.6,22.23,49,0,6.69,AU,1667702343
158,les cayes,18.2,-73.75,23.87,83,11,1.33,HT,1667702607
159,new norfolk,-42.7826,147.0587,24.28,38,65,1.79,AU,1667702571
